InvoiceNo,StockCode,Description New ,Quantity,UnitPrice,CustomerID,Country ,InvoiceDate,Total_Revenue,Month_Name
536365,85123A,White Hanging Heart T-Light Holder,6,2.55,17850,United Kingdom,2025-12-01,15.299999999999999,December
536365,71053,White Metal Lantern,6,3.39,17850,United Kingdom,2025-12-01,20.34,December
536365,84406B,Cream Cupid Hearts Coat Hanger,8,2.75,17850,United Kingdom,2025-12-01,22.0,December
536366,22633,Hand Warmer Union Jack,6,1.85,17850,United Kingdom,2025-12-01,11.100000000000001,December
536367,84879,Assorted Colour Bird Ornament,32,1.69,13047,United Kingdom,2025-12-01,54.08,December
536368,22748,Poppy'S Playhouse Kitchen,6,2.1,13047,United Kingdom,2025-12-01,12.600000000000001,December
536369,21754,Home Building Block Word,3,5.95,13047,United Kingdom,2025-12-02,17.85,December
C536379,D,Discount,-1,27.5,14527,United Kingdom,2025-12-02,-27.5,December
536380,22960,Jam Making Set With Jars,24,4.25,Guest,United Kingdom,2025-12-02,102.0,December
536381,22411,Jumbo Bag Toy Design,10,1.65,15311,United Kingdom,2025-12-02,16.5,December
536381,21108,Fairy Cake Flock Cushion Shape,4,4.95,15311,United Kingdom,2025-12-02,19.8,December
